PARCELSIZE,BLDGSIZE,BLDGTOTVAL,AGE_2014,X_COORD,Y_COORD,SITEADDR,TLID,FIPS,DEMOLISHED,WSAddr,WScore,WSDesc,TScore,TSDesc,Total.Pop,Pop.Density,Median.Hhld.Income,Pct.White.Alone,Pct.Black.Alone,Pct.Asian.Alone,Pct.Renter.Occ,Median.Year.Built,Median.Gross.Rent.Pct.Inc,BLDGSIZE.thous,PARCELSIZE.sqft,COVERAGE
0.45912491,1376,0.212634064744662,73,7631295,660573,9509 SW 46TH AVE,1S1E30AD  -05600,410510065011,1,9509 SW 46TH AVE,54,Somewhat Walkable,39,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,1.376,1.0540057621671258e-5,130549570.92177813
1.00710825,1216,0.013765698093593334,92,7633375,660535,3900 SW BAIRD ST,1S1E29BD  -05000,410510065022,1,3900 SW BAIRD ST,70,Somewhat Walkable,40,Some Transit,1382,4413.714,52292,90.52098408104197,0,7.018813314037627,48.54651162790697,1970,28.60000038,1.216,2.3120024104683194e-5,52595100.874210894
0.68850612,2840,0.43399092410807527,49,7631501,660618,9430 SW 46TH AVE,1S1E30AD  -06700,410510065011,1,9430 SW 46TH AVE,39,Car-Dependent,40,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,2.84,1.580592561983471e-5,179679448.60097975
0.32136728,3464,0.49741595941396805,107,7632873,660904,9310 SW CAPITOL HWY,1S1E29BC  -02600,410510065022,1,9310 SW CAPITOL HWY,73,Very Walkable,40,Some Transit,1382,4413.714,52292,90.52098408104197,0,7.018813314037627,48.54651162790697,1970,28.60000038,3.464,7.377577594123048e-6,469530812.22207814
0.26873401,778,0.2770229162441695,84,7632339,660946,4222 SW ALICE ST,1S1E29BC  -07102,410510065022,1,4222 SW ALICE ST,70,Somewhat Walkable,40,Some Transit,1382,4413.714,52292,90.52098408104197,0,7.018813314037627,48.54651162790697,1970,28.60000038,0.778,6.1692839761248855e-6,126108638.05440927
0.87762504,1708,0.26942780864420235,94,7638019,660931,2008 SW TAYLORS FERRY RD,1S1E28BB  -09900,410510064021,1,2008 SW TAYLORS FERRY RD,55,Somewhat Walkable,36,Some Transit,2927,3349.005,108523,94.94362828834984,0,1.2299282541851726,5.103806228373702,1974,50,1.708,2.0147498622589532e-5,84774791.74933295
0.40859053,2030,0.4126309355116557,64,7632987,661112,4015 SW ALICE ST,1S1E29BB  -14100,410510065022,1,4015 SW ALICE ST,69,Somewhat Walkable,40,Some Transit,1382,4413.714,52292,90.52098408104197,0,7.018813314037627,48.54651162790697,1970,28.60000038,2.03,9.379947887970615e-6,216419112.7973524
0.11475676,804,0.47170269613796456,111,7649822,661122,8704 SE 13TH AVE,1S1E26BA  -04700,410510001004,1,8704 SE 13TH AVE,89,Very Walkable,41,Some Transit,1139,9797.95,50147,92.8884986830553,0,5.092186128182616,64.96212121212122,1942,27.5,0.804,2.6344527089072544e-6,305186727.12614053
0.22955205,3572,0.6141136450414801,47,7651354,661215,8636 SE 17TH AVE,1S1E26AB  -01400,410510002004,1,8636 SE 17TH AVE,82,Very Walkable,45,Some Transit,1260,6770.283,56042,85,2.857142857142857,4.523809523809524,54.20711974110033,1963,27,3.572,5.269789944903582e-6,677825878.7059405
0.22961118,1608,0.2541455392627107,63,7629280,661237,5414 SW ORCHID ST,1S1E30AB  -12300,410510065011,1,5414 SW ORCHID ST,27,Car-Dependent,34,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,1.608,5.27114738292011e-6,305056922.750887
0.11475178,1760,0.5875288123256096,104,7650311,661244,1507 SE MARION ST,1S1E26AB  -12500,410510001004,1,1507 SE MARION ST,88,Very Walkable,42,Some Transit,1139,9797.95,50147,92.8884986830553,0,5.092186128182616,64.96212121212122,1942,27.5,1.76,2.634338383838384e-6,668099440.374694
6.45064361,3148,0.20844156683337856,31,7689420,661497,8141 SE 162ND AVE,1S2E24DD  -00301,410510089011,1,8141 SE 162ND AVE,10,Car-Dependent,0,No Nearby Transit,4978,2092.317,84467,72.67979108075532,0.9642426677380473,22.057051024507835,24.55919395465995,1998,28,3.148,1.4808640059687787e-4,21257860.190481056
0.11467255,882,0.515795582314751,110,7651867,661326,8604 SE 19TH AVE,1S1E26AA  -04300,410510002004,1,8604 SE 19TH AVE,72,Very Walkable,47,Some Transit,1260,6770.283,56042,85,2.857142857142857,4.523809523809524,54.20711974110033,1963,27,0.882,2.6325195133149677e-6,335040251.5684879
0.11475948,1344,0.4975914496462442,125,7650849,661354,8606 SE 16TH AVE,1S1E26AB  -08000,410510001004,1,8606 SE 16TH AVE,85,Very Walkable,44,Some Transit,1139,9797.95,50147,92.8884986830553,0,5.092186128182616,64.96212121212122,1942,27.5,1.344,2.6345151515151514e-6,510150795.3852702
0.11479501,1085,0.4611503531786075,106,7650104,661349,1416 SE CLATSOP ST,1S1E26BA  -02200,410510001004,1,1416 SE CLATSOP ST,89,Very Walkable,41,Some Transit,1139,9797.95,50147,92.8884986830553,0,5.092186128182616,64.96212121212122,1942,27.5,1.085,2.635330808080808e-6,411713017.8393643
1.02426191,907,0.33133055528636496,72,7669538,661426,8500 SE SHERRETT ST,1S2E21CC  -05500,410510089022,1,8500 SE SHERRETT ST,64,Somewhat Walkable,48,Some Transit,1002,4633.36,23125,60.97804391217565,3.6926147704590817,4.491017964071856,75.36534446764091,1974,49.5,0.907,2.3513817952249772e-5,38573063.79771557
0.34221392,1692,0.5467386263018088,4,7663062,661442,6101 SE CLATSOP ST,1S2E19DD  -05900,410510088002,1,6101 SE CLATSOP ST,53,Somewhat Walkable,34,Some Transit,1813,10198.77,50784,77.93712079426365,0.882515168229454,12.079426365140652,30.246913580246915,1963,38,1.692,7.85615059687787e-6,215372653.45606047
0.38495595,2706,0.612137022036109,51,7689744,661448,8181 SE 162ND AVE,1S2E24DD  -00500,410510089011,1,8181 SE 162ND AVE,12,Car-Dependent,0,No Nearby Transit,4978,2092.317,84467,72.67979108075532,0.9642426677380473,22.057051024507835,24.55919395465995,1998,28,2.706,8.83737258953168e-6,306199605.43537515
0.11477057,1625,0.5256706342156688,62,7651736,661465,1835 SE CLATSOP ST,1S1E26AA  -06900,410510002004,1,1835 SE CLATSOP ST,77,Very Walkable,46,Some Transit,1260,6770.283,56042,85,2.857142857142857,4.523809523809524,54.20711974110033,1963,27,1.625,2.6347697428833794e-6,616752186.5579302
6.89078306,3296,0.22969450771362152,60,7668228,661496,7939-8101 SE LUTHER RD,1S2E20DD  -05500,410510086002,1,7939-8101 SE LUTHER RD,64,Somewhat Walkable,48,Some Transit,2721,9277.954,39056,86.58581403895627,0,9.922822491730981,35.38622129436326,1967,29.89999962,3.296,1.5819061202938477e-4,20835623.288363975
0.12622425,790,0.377244950319541,94,7649546,661525,1203 SE CLATSOP ST,1S1E26BA  -11300,410510001005,1,1203 SE CLATSOP ST,89,Very Walkable,39,Some Transit,652,7959.428,81250,92.33128834355828,0,0,36.477987421383645,1953,20,0.79,2.897710055096419e-6,272629070.8798032
0.11475534,1004,0.5489560105412528,108,7649908,661515,1325 SE CLATSOP ST,1S1E26BA  -01200,410510001004,1,1325 SE CLATSOP ST,89,Very Walkable,41,Some Transit,1139,9797.95,50147,92.8884986830553,0,5.092186128182616,64.96212121212122,1942,27.5,1.004,2.6344201101928372e-6,381108539.26274806
0.1147835,998,0.5175105713975929,105,7652223,661526,8515 SE 21ST AVE,1S1E26AA  -05300,410510002004,1,8515 SE 21ST AVE,67,Somewhat Walkable,48,Some Transit,1260,6770.283,56042,85,2.857142857142857,4.523809523809524,54.20711974110033,1963,27,0.998,2.635066574839302e-6,378738059.041587
0.11478242,779,0.41544793764778004,106,7651714,661590,1828 SE SHERRETT ST,1S1E26AA  -06200,410510002004,1,1828 SE SHERRETT ST,82,Very Walkable,46,Some Transit,1260,6770.283,56042,85,2.857142857142857,4.523809523809524,54.20711974110033,1963,27,0.779,2.6350417814508723e-6,295630985.999424
0.1147864,1272,0.3752924660739354,106,7649401,661629,1122 SE SHERRETT ST,1S1E26BA  -12300,410510001005,1,1122 SE SHERRETT ST,91,Walker's Paradise,38,Some Transit,652,7959.428,81250,92.33128834355828,0,0,36.477987421383645,1953,20,1.272,2.635133149678604e-6,482708056.00663495
0.19081893,1206,0.44219297846181865,78,7632994,661651,4014 SW MARIGOLD ST,1S1E29BB  -13400,410510065022,1,4014 SW MARIGOLD ST,66,Somewhat Walkable,39,Some Transit,1382,4413.714,52292,90.52098408104197,0,7.018813314037627,48.54651162790697,1970,28.60000038,1.206,4.380599862258953e-6,275304761.430116
0.21889101,1604,0.4992488733099649,94,7689782,661650,8123 SE 162ND AVE,1S2E24DD  -00400,410510089011,1,8123 SE 162ND AVE,12,Car-Dependent,0,No Nearby Transit,4978,2092.317,84467,72.67979108075532,0.9642426677380473,22.057051024507835,24.55919395465995,1998,28,1.604,5.025046143250688e-6,319201048.9603936
0.32251258,720,0.3065187239944521,67,7665606,661703,7023 SE SHERRETT ST,1S2E20CD  -09400,410510088001,1,7023 SE SHERRETT ST,57,Somewhat Walkable,39,Some Transit,1468,8343.781,52206,86.78474114441417,1.2942779291553135,2.17983651226158,13.319672131147541,1956,41.79999924,0.72,7.403870064279155e-6,97246439.19316263
0.25434618,504,0.13182253431216087,77,7662928,661727,8440 SE 60TH AVE,1S2E19DD  -03800,410510088002,1,8440 SE 60TH AVE,53,Somewhat Walkable,34,Some Transit,1813,10198.77,50784,77.93712079426365,0.882515168229454,12.079426365140652,30.246913580246915,1963,38,0.504,5.838984848484848e-6,86316374.00648203
0.2296083,1802,0.5313382269904009,60,7630333,661719,9009 SW 50TH AVE,1S1E30AB  -09700,410510065011,1,9009 SW 50TH AVE,35,Car-Dependent,36,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,1.802,5.271081267217631e-6,341865341.97587806
0.11474232,1064,0.4709099556119214,108,7649506,661786,1145 SE SHERRETT ST,1S1E23CD  -07800,410510001005,1,1145 SE SHERRETT ST,92,Walker's Paradise,39,Some Transit,652,7959.428,81250,92.33128834355828,0,0,36.477987421383645,1953,20,1.064,2.634121212121212e-6,403929779.3525528
0.11479937,1518,0.533852438981808,99,7648402,661841,8425 SE 8TH AVE,1S1E23CC  -13200,410510001006,1,8425 SE 8TH AVE,85,Very Walkable,36,Some Transit,719,8195.082,53983,100,0,0,36.60933660933661,1964,30.39999962,1.518,2.6354308999081724e-6,575996889.1815348
0.11479486,901,0.4411653899284189,60,7649608,661883,1212 SE HARNEY ST,1S1E23CD  -08900,410510001005,1,1212 SE HARNEY ST,92,Walker's Paradise,39,Some Transit,652,7959.428,81250,92.33128834355828,0,0,36.477987421383645,1953,20,0.901,2.6353273645546373e-6,341893008.1015822
1.16430742,1768,0.3019879383515747,91,7659588,661959,4543 SE HARNEY DR,1S2E19CD  -04900,410510088003,1,4543 SE HARNEY DR,58,Somewhat Walkable,40,Some Transit,1300,4595.286,60714,89.6923076923077,1.3076923076923077,6.153846153846154,24.78813559322034,1955,43,1.768,2.6728820477502297e-5,66145829.42364139
0.11480402,613,0.3570293310215287,92,7651726,662010,8325 SE 19TH AVE,1S1E23DD  -18100,410510002004,1,8325 SE 19TH AVE,82,Very Walkable,46,Some Transit,1260,6770.283,56042,85,2.857142857142857,4.523809523809524,54.20711974110033,1963,27,0.613,2.6355376492194676e-6,232590113.133669
0.1147125,850,0.4329896907216495,72,7663913,662001,8325 SE 64TH AVE,1S2E20CC  -06200,410510088002,1,8325 SE 64TH AVE,48,Car-Dependent,32,Some Transit,1813,10198.77,50784,77.93712079426365,0.882515168229454,12.079426365140652,30.246913580246915,1963,38,0.85,2.6334366391184572e-6,322772147.7607061
0.34660205,2780,0.3748539681715517,56,7639224,662122,1520 SW DOLPH ST,1S1E21CD  -12100,410510062003,1,1520 SW DOLPH ST,67,Somewhat Walkable,37,Some Transit,1382,6162.731,72344,91.02749638205499,1.3748191027496381,3.61794500723589,27.151051625239003,1955,27.200000760000002,2.78,7.956888200183654e-6,349382815.2487846
0.16988225,3668,0.7417436218500548,8,7638999,662128,1642 SW DOLPH ST,1S1E21CD  -11800,410510062003,1,1642 SW DOLPH ST,68,Somewhat Walkable,38,Some Transit,1382,6162.731,72344,91.02749638205499,1.3748191027496381,3.61794500723589,27.151051625239003,1955,27.200000760000002,3.668,3.8999598255280075e-6,940522508.9731269
0.11478354,520,0.353202939045845,65,7663806,662153,8226 SE 63RD AVE,1S2E20CC  -05800,410510088002,1,8226 SE 63RD AVE,48,Car-Dependent,32,Some Transit,1813,10198.77,50784,77.93712079426365,0.882515168229454,12.079426365140652,30.246913580246915,1963,38,0.52,2.6350674931129477e-6,197338398.867991
