UniqueID,NearSchoolDist,NearSchoolMins,DistMeters,TimeMins
290171000,Buford Middle School,Buford Middle School,1023,13.6
290201000,Buford Middle School,Buford Middle School,810,10.8
290188000,Buford Middle School,Buford Middle School,924,12.3
230024100,Buford Middle School,Buford Middle School,694,9.3
230071000,Buford Middle School,Buford Middle School,440,5.9
300149000,Buford Middle School,Buford Middle School,556,7.4
290130000,Buford Middle School,Buford Middle School,1218,16.2
300152100,Buford Middle School,Buford Middle School,458,6.1
290220000,Buford Middle School,Buford Middle School,669,8.9
230072000,Buford Middle School,Buford Middle School,456,6.1
290115000,Buford Middle School,Buford Middle School,1146,15.3
230023000,Buford Middle School,Buford Middle School,722,9.6
230131100,Johnson Elementary School,Johnson Elementary School,1255,16.7
290124100,Buford Middle School,Buford Middle School,1206,16.1
300152000,Buford Middle School,Buford Middle School,468,6.2
290172000,Buford Middle School,Buford Middle School,1006,13.4
290191000,Buford Middle School,Buford Middle School,828,11
230130100,Buford Middle School,Buford Middle School,861,11.5
300148000,Buford Middle School,Buford Middle School,578,7.7
290131000,Buford Middle School,Buford Middle School,1216,16.2
230191000,Buford Middle School,Buford Middle School,204,2.7
290116000,Buford Middle School,Buford Middle School,1155,15.4
230023100,Buford Middle School,Buford Middle School,744,9.9
230073100,Buford Middle School,Buford Middle School,473,6.3
290181000,Buford Middle School,Buford Middle School,1106,14.8
290110000,Buford Middle School,Buford Middle School,1024,13.7
230131200,Johnson Elementary School,Johnson Elementary School,1223,16.3
290192000,Buford Middle School,Buford Middle School,905,12.1
290132000,Buford Middle School,Buford Middle School,1260,16.8
230022100,Buford Middle School,Buford Middle School,765,10.2
290120000,Buford Middle School,Buford Middle School,1155,15.4
300145000,Buford Middle School,Buford Middle School,605,8.1
230073000,Buford Middle School,Buford Middle School,501,6.7
290200000,Buford Middle School,Buford Middle School,774,10.3
230190000,Buford Middle School,Buford Middle School,276,3.7
230131000,Johnson Elementary School,Johnson Elementary School,1236,16.5
230078000,Buford Middle School,Buford Middle School,567,7.6
290194000,Buford Middle School,Buford Middle School,817,10.9
230189000,Buford Middle School,Buford Middle School,288,3.8
290121000,Buford Middle School,Buford Middle School,1089,14.5
230077000,Buford Middle School,Buford Middle School,545,7.3
230022000,Buford Middle School,Buford Middle School,826,11
300153000,Buford Middle School,Buford Middle School,530,7.1
290173000,Buford Middle School,Buford Middle School,990,13.2
230079000,Buford Middle School,Buford Middle School,622,8.3
230130200,Buford Middle School,Buford Middle School,846,11.3
230188000,Buford Middle School,Buford Middle School,307,4.1
290195000,Buford Middle School,Buford Middle School,808,10.8
230130300,Buford Middle School,Buford Middle School,923,12.3
300154000,Buford Middle School,Buford Middle School,551,7.3
290233200,Buford Middle School,Buford Middle School,716,9.5
230083000,Buford Middle School,Buford Middle School,640,8.5
